No,Business Name,Country,Industry,Website,WhatsApp Available,WhatsApp Number,Facebook Page,Instagram Page,Email
1,Shufersal,Israel,Retail / Supermarket,https://www.shufersal.co.il,Yes,Not Found,https://www.facebook.com/shufersal,https://www.instagram.com/shufersal_online,Not Found
2,Rami Levy,Israel,Retail / Supermarket,https://www.rami-levy.co.il,Yes,+972559909888,https://www.facebook.com/Rami.Levy.Shivuk.Hashikma,https://www.instagram.com/ramilevy_official,[email protected]
3,Super-Pharm,Israel,Retail / Pharmacy,https://www.super-pharm.co.il,No,Not Found,https://www.facebook.com/superpharm,https://www.instagram.com/superpharm_israel,Not Found
4,Osher Ad,Israel,Retail / Supermarket,https://www.osherad.co.il,No,Not Found,https://www.facebook.com/OsherAdOfficial,Not Found,Not Found
5,Victory,Israel,Retail / Supermarket,https://www.victory.co.il,No,Not Found,https://www.facebook.com/victory.supermarket,Not Found,Not Found
6,Tiv Taam,Israel,Retail / Supermarket,https://www.tivtaam.co.il,No,Not Found,https://www.facebook.com/TivTaamOfficial,https://www.instagram.com/tivtaam_official,Not Found
7,Yeinot Bitan,Israel,Retail / Supermarket,https://www.ybitan.co.il,No,Not Found,https://www.facebook.com/YeinotBitan,Not Found,Not Found
8,Fox,Israel,Fashion / Retail,https://www.foxgroup.co.il,No,Not Found,https://www.facebook.com/fox.co.il,https://www.instagram.com/fox_official_il,Not Found
9,Castro,Israel,Fashion / Retail,https://www.castro.com,No,Not Found,https://www.facebook.com/CastroFashion,https://www.instagram.com/castro_fashion,Not Found
10,Renuar,Israel,Fashion / Retail,https://www.renuar.co.il,No,Not Found,https://www.facebook.com/RenuarFashion,https://www.instagram.com/renuar_fashion,Not Found
11,Golf & Co,Israel,Fashion / Retail,https://www.golf.co.il,No,Not Found,https://www.facebook.com/GolfAndCo,https://www.instagram.com/golf_and_co,Not Found
12,Honigman,Israel,Fashion / Retail,https://www.honigman.co.il,No,Not Found,https://www.facebook.com/Honigman,https://www.instagram.com/honigman_official,Not Found
13,Kitan Group,Israel,Fashion / Textiles,https://www.kitangroup.com,No,Not Found,Not Found,Not Found,Not Found
14,Delta Galil,Israel,Fashion / Textiles,https://www.deltagalil.com,No,Not Found,https://www.facebook.com/DeltaGalil,Not Found,[email protected]
15,Shilav,Israel,Retail / Baby & Children,https://www.shilav.co.il,No,Not Found,https://www.facebook.com/ShilavGroup,https://www.instagram.com/shilav_group,Not Found
16,Hamashbir Lazarchan,Israel,Retail / Department Store,https://www.hamashbir.co.il,No,Not Found,https://www.facebook.com/hamashbir365,https://www.instagram.com/hamashbir365,Not Found
17,Ace Israel,Israel,Retail / Home Improvement,https://www.ace.co.il,No,Not Found,https://www.facebook.com/aceisrael,https://www.instagram.com/ace_israel,Not Found
18,IKEA Israel,Israel,Retail / Furniture,https://www.ikea.co.il,No,Not Found,https://www.facebook.com/IKEAisrael,https://www.instagram.com/ikeaisrael,Not Found
19,KSP,Israel,Retail / Electronics,https://www.ksp.co.il,No,Not Found,https://www.facebook.com/KSPcomputers,https://www.instagram.com/ksp_israel,Not Found
20,Bug,Israel,Retail / Electronics,https://www.bug.co.il,No,Not Found,https://www.facebook.com/bugcoil,https://www.instagram.com/bug.co.il,Not Found
21,iDigital,Israel,Retail / Electronics,https://www.idigital.co.il,No,Not Found,https://www.facebook.com/iDigitalIsrael,https://www.instagram.com/idigital_israel,Not Found
22,Mahsanei Hashmal,Israel,Retail / Electronics,https://www.mahsanei-hashmal.co.il,No,Not Found,https://www.facebook.com/mahsaneihashmal,Not Found,Not Found
23,Electra Consumer Products,Israel,Retail / Electronics,https://www.electra.co.il,No,Not Found,https://www.facebook.com/ElectraIL,Not Found,Not Found
24,Aroma Espresso Bar,Israel,Restaurant / Cafe,https://www.aroma.co.il,No,Not Found,https://www.facebook.com/AromaEspressoBar,https://www.instagram.com/aroma_espresso_bar,Not Found
25,Cafe Landwer,Israel,Restaurant / Cafe,https://www.landwer.co.il,No,Not Found,https://www.facebook.com/LandwerCafe,https://www.instagram.com/cafelandwer,Not Found
26,Cafe Cafe,Israel,Restaurant / Cafe,https://www.cafecafe.co.il,No,Not Found,https://www.facebook.com/cafecafe.co.il,https://www.instagram.com/cafecafe_il,Not Found
27,Roladin,Israel,Restaurant / Bakery,https://www.roladin.co.il,No,Not Found,https://www.facebook.com/RoladinBakery,https://www.instagram.com/roladin_bakery,Not Found
28,Benedict,Israel,Restaurant,https://www.benedict.co.il,No,Not Found,https://www.facebook.com/BenedictTLV,https://www.instagram.com/benedict_tlv,Not Found
29,Opa TLV,Israel,Restaurant,https://www.opatlv.co.il,No,Not Found,https://www.facebook.com/opatlv,https://www.instagram.com/opa_tlv,Not Found
30,Machneyuda,Israel,Restaurant,https://www.machneyuda.co.il,No,Not Found,https://www.facebook.com/machneyuda,https://www.instagram.com/machneyuda_rest,Not Found
31,Ha'Achim,Israel,Restaurant,Not Found,No,Not Found,Not Found,https://www.instagram.com/haachim_rest,Not Found
32,Uri Buri,Israel,Restaurant,https://www.uriburi.co.il,No,Not Found,https://www.facebook.com/UriBuriRestaurant,Not Found,Not Found
33,Golda Ice Cream,Israel,Restaurant / Ice Cream,https://www.golda.co.il,No,Not Found,https://www.facebook.com/GoldaIceCream,https://www.instagram.com/golda_icecream,Not Found
34,Jahnun Bar,Israel,Restaurant,Not Found,No,Not Found,https://www.facebook.com/jahnunbar,https://www.instagram.com/jahnunbar,Not Found
35,Arcaffe,Israel,Restaurant / Cafe,https://www.arcaffe.co.il,No,Not Found,https://www.facebook.com/arcaffe,https://www.instagram.com/arcaffe_israel,Not Found
36,Cofix,Israel,Restaurant / Cafe,https://www.cofix.co.il,No,Not Found,https://www.facebook.com/cofixisrael,https://www.instagram.com/cofix_israel,Not Found
37,Max Brenner,Israel,Restaurant / Chocolate,https://www.maxbrenner.co.il,No,Not Found,https://www.facebook.com/MaxBrennerIL,https://www.instagram.com/maxbrenner_il,Not Found
38,BBB (Burgus Burger Bar),Israel,Restaurant,https://www.bbb.co.il,No,Not Found,https://www.facebook.com/bbbisrael,https://www.instagram.com/bbb_israel,Not Found
39,Moses,Israel,Restaurant,https://www.mosesrest.co.il,No,Not Found,https://www.facebook.com/mosesrest,https://www.instagram.com/mosesrest,Not Found
40,Shipudei HaTikva,Israel,Restaurant,Not Found,No,Not Found,Not Found,https://www.instagram.com/shipudeihatikva,Not Found
41,Domino's Pizza Israel,Israel,Restaurant / Fast Food,https://www.dominos.co.il,Yes,Not Found,https://www.facebook.com/DominosIsrael,https://www.instagram.com/dominos_israel,Not Found
42,McDonald's Israel,Israel,Restaurant / Fast Food,https://www.mcdonalds.co.il,No,Not Found,https://www.facebook.com/McDonaldsIsrael,https://www.instagram.com/mcdonalds_israel,Not Found
43,Burger King Israel,Israel,Restaurant / Fast Food,https://www.burgerking.co.il,No,Not Found,https://www.facebook.com/BurgerKingIsrael,https://www.instagram.com/burgerking_il,Not Found
44,Pizza Hut Israel,Israel,Restaurant / Fast Food,https://www.pizzahut.co.il,No,Not Found,https://www.facebook.com/PizzaHutIsrael,Not Found,Not Found
45,Wix,Israel,Technology,https://www.wix.com,No,Not Found,https://www.facebook.com/wix,https://www.instagram.com/wix,[email protected]
46,Monday.com,Israel,Technology,https://www.monday.com,No,Not Found,https://www.facebook.com/mondaydotcom,https://www.instagram.com/mondaydotcom,Not Found
47,Fiverr,Israel,Technology / Marketplace,https://www.fiverr.com,No,Not Found,https://www.facebook.com/Fiverr,https://www.instagram.com/fiverr,Not Found
48,Check Point Software,Israel,Technology / Cybersecurity,https://www.checkpoint.com,No,Not Found,https://www.facebook.com/checkpointsoftware,https://www.instagram.com/checkpoint_software,Not Found
49,CyberArk,Israel,Technology / Cybersecurity,https://www.cyberark.com,No,Not Found,https://www.facebook.com/CyberArk,Not Found,Not Found
50,Wiz,Israel,Technology / Cybersecurity,https://www.wiz.io,No,Not Found,https://www.facebook.com/wizsecurity,Not Found,Not Found
51,NICE Systems,Israel,Technology / Software,https://www.nice.com,No,Not Found,https://www.facebook.com/OfficialNICELtd,Not Found,Not Found
52,Teva Pharmaceutical,Israel,Healthcare / Pharma,https://www.tevapharm.com,No,Not Found,https://www.facebook.com/TevaPharmaceuticals,Not Found,[email protected]
53,Elbit Systems,Israel,Defense / Technology,https://elbitsystems.com,No,Not Found,https://www.facebook.com/ElbitSystemsLtd,Not Found,Not Found
54,Tower Semiconductor,Israel,Technology / Semiconductor,https://www.towersemi.com,No,Not Found,Not Found,Not Found,Not Found
55,SolarEdge,Israel,Energy / Green Tech,https://www.solaredge.com,No,Not Found,https://www.facebook.com/solaredge,https://www.instagram.com/solaredge,Not Found
56,Mobileye,Israel,Technology / Automotive,https://www.mobileye.com,No,Not Found,https://www.facebook.com/Mobileye,https://www.instagram.com/maborteam,Not Found
57,Payoneer,Israel,Fintech,https://www.payoneer.com,No,Not Found,https://www.facebook.com/Payoneer,https://www.instagram.com/payoneer,Not Found
58,eToro,Israel,Fintech,https://www.etoro.com,No,Not Found,https://www.facebook.com/eToro,https://www.instagram.com/etoro,Not Found
